время,пользователь,сессия,событие,канал,устройство,категория,выручка,количество
2024-11-08 05:44:00,12363,10076,просмотр,реклама,десктоп,Комиксы,,
2024-09-25 10:37:00,11998,11507,визит,реклама,мобильный,Комиксы,,
2024-09-19 12:13:00,11535,2889,просмотр,поиск,мобильный,Книги,,
2024-10-08 01:11:00,11539,9002,визит,поиск,десктоп,Книги,,
2024-09-09 14:32:00,10927,8233,визит,реклама,десктоп,Канцелярия,,
2024-10-01 05:09:00,11579,6914,визит,реклама,десктоп,Подарки,,
2024-11-20 20:09:00,12588,5016,корзина,реклама,десктоп,Комиксы,,
2024-10-15 00:40:00,10104,6702,покупка,рассылка,десктоп,Комиксы,745.0,3.0
2024-10-16 18:11:00,11446,8114,корзина,,десктоп,Канцелярия,,
2024-11-19 00:10:00,13822,8722,корзина,поиск,десктоп,Книги,,
2024-10-24 11:55:00,12664,3232,корзина,поиск,десктоп,Канцелярия,,
2024-10-08 00:47:00,10455,9911,визит,рассылка,мобильный,Подарки,,
2024-10-11 19:34:00,10799,1404,визит,реклама,десктоп,Канцелярия,,
2024-10-02 04:29:00,13039,8033,просмотр,рассылка,мобильный,Подарки,,
2024-11-07 19:20:00,10035,8435,визит,реклама,десктоп,Книги,,
2024-09-16 22:40:00,13461,9550,визит,реклама,мобильный,Книги,,
2024-11-07 05:27:00,11834,114,корзина,соцсети,десктоп,Книги,,
2024-09-16 03:16:00,11278,937,визит,реклама,десктоп,Книги,,
2024-10-08 11:45:00,10771,1564,оформление,поиск,десктоп,Канцелярия,,
2024-09-10 05:50:00,11090,7295,оформление,рассылка,мобильный,Комиксы,,
2024-09-27 17:36:00,13375,5291,визит,соцсети,мобильный,Книги,,
2024-10-30 07:52:00,11557,3396,просмотр,соцсети,мобильный,Канцелярия,,
2024-10-27 04:45:00,11049,9681,визит,соцсети,мобильный,Канцелярия,,
2024-11-06 04:10:00,11748,3284,оформление,рассылка,мобильный,Подарки,,
2024-10-08 13:43:00,14111,7923,корзина,,мобильный,Книги,,
2024-11-14 08:52:00,10467,11571,визит,рассылка,десктоп,Книги,,
2024-10-12 09:50:00,10780,3165,визит,реклама,мобильный,Книги,,
2024-09-19 08:50:00,10314,2586,визит,поиск,десктоп,Настольные игры,,
2024-10-07 02:39:00,10241,6362,визит,поиск,мобильный,Книги,,
2024-10-15 07:57:00,11550,4313,визит,,мобильный,Подарки,,
2024-09-20 22:34:00,11220,8422,визит,поиск,десктоп,Комиксы,,
2024-11-09 13:19:00,12967,10523,покупка,поиск,мобильный,Настольные игры,5773.0,2.0
2024-11-22 14:05:00,13264,6283,оформление,рассылка,десктоп,Канцелярия,,
2024-09-25 17:24:00,12674,6195,корзина,поиск,десктоп,Книги,,
2024-10-26 17:13:00,13797,3140,визит,поиск,мобильный,Книги,,
2024-10-29 23:31:00,10188,7406,визит,реклама,мобильный,Книги,,
2024-09-07 11:51:00,13994,3310,визит,соцсети,десктоп,Книги,,
2024-10-25 23:46:00,13683,9823,визит,поиск,десктоп,Настольные игры,,
2024-09-19 12:19:00,13520,10203,покупка,рассылка,десктоп,Подарки,1430.0,1.0
2024-10-10 13:31:00,11398,1577,корзина,реклама,мобильный,Настольные игры,,
2024-10-24 16:05:00,13738,10971,просмотр,рассылка,мобильный,Канцелярия,,
2024-09-07 04:38:00,12007,5739,визит,соцсети,мобильный,Настольные игры,,
2024-10-12 15:37:00,10956,6297,визит,поиск,мобильный,Канцелярия,,
2024-10-23 16:30:00,13080,3767,визит,реклама,мобильный,Канцелярия,,
2024-10-20 02:37:00,12986,10739,визит,поиск,десктоп,Комиксы,,
2024-09-13 22:56:00,11887,3000,корзина,соцсети,десктоп,Книги,,
